Device_Serial,Modbus_Address,cur_firmware,oper_status,volt_out,ip_v4,last_comm_timestamp
BRAKE-SYS-07,40500,v2.0.1,ONLINE,110.7,10.10.30.16,2026-02-23T10:06:30Z
BRAKE-SYS-08,40500,v2.0.1,ONLINE,109.8,10.10.30.17,2026-02-23T10:06:35Z
CONV-DC-AC-05,50001,v4.4.0,ONLINE,690.1,10.10.40.54,2026-02-23T10:07:20Z
CONV-DC-AC-06,50001,v4.4.0,ONLINE,690.6,10.10.40.55,2026-02-23T10:07:25Z
CONV-DC-AC-07,50001,v4.4.0,ONLINE,689.8,10.10.40.56,2026-02-23T10:07:30Z
CONV-DC-AC-08,50001,v4.4.0,ONLINE,690.3,10.10.40.57,2026-02-23T10:07:35Z
MET-SENSE-N3,30010,v1.2,ONLINE,12.0,10.10.50.22,2026-02-23T10:08:10Z
MET-SENSE-N4,30010,v1.2,ONLINE,12.2,10.10.50.23,2026-02-23T10:08:15Z
WT-G-011,40001,v2.1.4,ONLINE,690.4,10.10.20.21,2026-02-23T10:02:50Z
WT-G-012,40001,v2.1.4,ONLINE,690.2,10.10.20.22,2026-02-23T10:02:55Z
WT-G-013,40001,v2.1.4,ONLINE,688.9,10.10.20.23,2026-02-23T10:03:00Z
WT-G-014,40001,v2.1.4,ONLINE,690.1,10.10.20.24,2026-02-23T10:03:05Z
WT-G-015,40001,v2.1.4,ONLINE,690.3,10.10.20.25,2026-02-23T10:03:10Z
PITCH-MOT-11,40102,v1.0.9,ONLINE,24.1,10.10.20.65,2026-02-23T10:02:00Z
PITCH-MOT-12,40102,v1.0.9,ONLINE,24.0,10.10.20.66,2026-02-23T10:02:05Z
PITCH-MOT-13,40102,v1.0.9,ONLINE,23.9,10.10.20.67,2026-02-23T10:02:10Z
PITCH-MOT-14,40102,v1.0.9,ONLINE,24.1,10.10.20.68,2026-02-23T10:02:15Z
PITCH-MOT-15,40102,v1.0.9,ONLINE,24.2,10.10.20.69,2026-02-23T10:02:20Z
YAW-DRIVE-E1,40205,v3.2.0,ONLINE,480.0,10.10.21.20,2026-02-23T10:03:45Z
YAW-DRIVE-E2,40205,v3.2.0,ONLINE,480.3,10.10.21.21,2026-02-23T10:03:50Z
YAW-DRIVE-E3,40205,v3.2.0,ONLINE,479.9,10.10.21.22,2026-02-23T10:03:55Z
YAW-DRIVE-F1,40205,v3.2.0,ONLINE,480.1,10.10.21.23,2026-02-23T10:04:00Z
YAW-DRIVE-F2,40205,v3.2.0,ONLINE,480.2,10.10.21.24,2026-02-23T10:04:05Z
NAC-TEMP-S11,30005,v1.1,ONLINE,5.0,10.10.25.111,2026-02-23T10:06:10Z
NAC-TEMP-S12,30005,v1.1,ONLINE,5.1,10.10.25.112,2026-02-23T10:06:15Z
NAC-TEMP-S13,30005,v1.1,ONLINE,4.9,10.10.25.113,2026-02-23T10:06:20Z
NAC-TEMP-S14,30005,v1.1,ONLINE,5.0,10.10.25.114,2026-02-23T10:06:25Z
NAC-TEMP-S15,30005,v1.1,ONLINE,5.0,10.10.25.115,2026-02-23T10:06:30Z
BRAKE-SYS-09,40500,v2.0.1,ONLINE,110.4,10.10.30.18,2026-02-23T10:06:40Z
BRAKE-SYS-10,40500,v2.0.1,ONLINE,110.1,10.10.30.19,2026-02-23T10:06:45Z
BRAKE-SYS-11,40500,v2.0.1,ONLINE,110.7,10.10.30.20,2026-02-23T10:06:50Z
BRAKE-SYS-12,40500,v2.0.1,ONLINE,109.8,10.10.30.21,2026-02-23T10:06:55Z
CONV-DC-AC-09,50001,v4.4.0,ONLINE,690.1,10.10.40.58,2026-02-23T10:07:40Z
CONV-DC-AC-10,50001,v4.4.0,ONLINE,690.6,10.10.40.59,2026-02-23T10:07:45Z
CONV-DC-AC-11,50001,v4.4.0,ONLINE,689.8,10.10.40.60,2026-02-23T10:07:50Z
CONV-DC-AC-12,50001,v4.4.0,ONLINE,690.3,10.10.40.61,2026-02-23T10:07:55Z
MET-SENSE-N5,30010,v1.2,ONLINE,12.0,10.10.50.24,2026-02-23T10:08:20Z
MET-SENSE-N6,30010,v1.2,ONLINE,12.2,10.10.50.25,2026-02-23T10:08:25Z
WT-G-016,40001,v2.1.4,ONLINE,690.4,10.10.20.26,2026-02-23T10:03:15Z
WT-G-017,40001,v2.1.4,ONLINE,690.2,10.10.20.27,2026-02-23T10:03:20Z
WT-G-018,40001,v2.1.4,ONLINE,688.9,10.10.20.28,2026-02-23T10:03:25Z
WT-G-019,40001,v2.1.4,ONLINE,690.1,10.10.20.29,2026-02-23T10:03:30Z
WT-G-020,40001,v2.1.4,ONLINE,690.3,10.10.20.30,2026-02-23T10:03:35Z
PITCH-MOT-16,40102,v1.0.9,ONLINE,24.1,10.10.20.70,2026-02-23T10:02:25Z
PITCH-MOT-17,40102,v1.0.9,ONLINE,24.0,10.10.20.71,2026-02-23T10:02:30Z
PITCH-MOT-18,40102,v1.0.9,ONLINE,23.9,10.10.20.72,2026-02-23T10:02:35Z
PITCH-MOT-19,40102,v1.0.9,ONLINE,24.1,10.10.20.73,2026-02-23T10:02:40Z
PITCH-MOT-20,40102,v1.0.9,ONLINE,24.2,10.10.20.74,2026-02-23T10:02:45Z
